Provider,State,Weight,Technology,Download Bandwidth Mbps,Upload Bandwidth Mbps,Usage Allowance GB,Monthly Charge,Other Mandatory Charge,Surcharge,Total Charge,Total Charge Spread,Model Data,,,,
"Hargray of Georgia, Inc.",ALABAMA,340898.5833,Cable,80,8,Inf,60,0,2.87,62.87,0,Yes,,,,
"Hargray of Georgia, Inc.",ALABAMA,340898.5833,Cable,300,30,Inf,130,0,2.87,132.87,0,Yes,,,,
Mediacom Southeast LLC,ALABAMA,148903.8539,Cable,200,20,2000,99.99,15,0,114.99,0,Yes,,,,
"Wiregrass Telcom, Inc.",ALABAMA,12115.2,Cable,50,5,Inf,39.99,0,0,39.99,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",ALABAMA,355953.4414,Cable,300,10,1229,93,0,0,93,0,Yes,,,,
"Hargray of Georgia, Inc.",ALABAMA,340898.5833,Cable,30,3,Inf,40,0,2.87,42.87,0,Yes,,,,
"Hargray of Georgia, Inc.",ALABAMA,340898.5833,Cable,60,6,Inf,50,0,2.87,52.87,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",ALABAMA,355953.4414,Cable,25,2,1229,53,0,0,53,0,Yes,,,,
"Charter Communications, Inc.",ALABAMA,8134.4,Cable,300,20,Inf,89.99,0,0,89.99,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",ALABAMA,355953.4414,Cable,600,15,1229,103,0,0,103,0,Yes,,,,
"Hargray of Georgia, Inc.",ALABAMA,340898.5833,Cable,200,20,Inf,90,0,2.87,92.87,0,Yes,,,,
"Wiregrass Telcom, Inc.",ALABAMA,12115.2,Cable,200,10,Inf,49.99,0,0,49.99,0,Yes,,,,
"Wiregrass Telcom, Inc.",ALABAMA,12115.2,Cable,50,5,Inf,39.99,0,0,39.99,0,Yes,,,,
"COMCAST CABLE COMMUNICATIONS, LLC",ALABAMA,355953.4414,Cable,200,5,1229,83,0,0,83,0,Yes,,,,
Mediacom Southeast LLC,ALABAMA,148903.8539,Cable,60,5,60,29.99,15,0,44.99,0,Yes,,,,
