"Year, ProdWage"
"1948, $5.98 "
"1949, $6.07 "
"1950, $6.53 "
"1951, $6.71 "
"1952, $6.90 "
"1953, $7.14 "
"1954, $7.26 "
"1955, $7.55 "
"1956, $7.57 "
"1957, $7.77 "
"1958, $7.93 "
"1959, $8.23 "
"1960, $8.37 "
"1961, $8.63 "
"1962, $8.95 "
"1963, $9.27 "
"1964, $9.56 "
"1965, $9.86 "
"1966, $10.16 "
"1967, $10.28 "
"1968, $10.59 "
"1969, $10.63 "
"1970, $10.78 "
"1971, $11.18 "
"1972, $11.49 "
"1973, $11.77 "
"1974, $11.59 "
"1975, $11.84 "
"1976, $12.17 "
"1977, $12.31 "
"1978, $12.45 "
"1979, $12.44 "
"1980, $12.36 "
"1981, $12.58 "
"1982, $12.45 "
"1983, $12.82 "
"1984, $13.16 "
"1985, $13.37 "
"1986, $13.64 "
"1987, $13.68 "
"1988, $13.87 "
"1989, $13.99 "
"1990, $14.16 "
"1991, $14.26 "
"1992, $14.79 "
"1993, $14.85 "
"1994, $14.97 "
"1995, $15.04 "
"1996, $15.32 "
"1997, $15.59 "
"1998, $15.91 "
"1999, $16.35 "
"2000, $16.17 "
"2001, $16.96 "
"2002, $17.43 "
"2003, $18.01 "
"2004, $18.49 "
"2005, $18.85 "
"2006, $18.99 "
"2007, $19.12 "
"2008, $19.21 "
"2009, $19.65 "
"2010, $20.22 "
"2011, $20.22 "
"2012, $20.30 "
"2013, $20.38 "
"2014, $20.50 "
"2015, $20.71 "
"2016, $20.76 "
"2017, $20.96 "
"2018, $21.18 "
"2019, $21.42 "
"2020, $21.69 "
"2021, $22.14 "
"2022, $22.37 "
"2023, $22.71 "
"2024, $23.09 "
"2025, $23.52 "
